sub_emotion,suggested_action
Enthusiasm,listen_to_upbeat_music
Enthusiasm,join_a_club
Enthusiasm,go_for_a_run
Enthusiasm,try_a_new_hobby
Enthusiasm,engage_in_deep_conversation
Excitement,attend_a_workshop
Excitement,meditate
Excitement,listen_to_meditative_music
Excitement,deep_breathing
Excitement,try_yoga
Passion,celebrate_your_achievements
Passion,treat_yourself
Passion,learn_a_new_skill
Passion,make_someone_smile
Passion,practice_gratitude
Euphoria,spend_time_with_friends
Euphoria,enjoy_nature
Euphoria,practice_mindfulness
Euphoria,play_a_game
Euphoria,watch_a_funny_movie
Trembling,acknowledge_your_success
Trembling,share_your_story
Trembling,indulge_in_a_favorite_activity
Trembling,pamper_yourself
Trembling,practice_mindful_meditation
Satisfaction,take_a_walk_in_nature
Satisfaction,reflect_on_positive_experiences
Satisfaction,create_a_positive_environment
Satisfaction,celebrate_your_accomplishments
Satisfaction,acknowledge_and_accept_your_mistakes
Charm,practice_daily_gratitude
Charm,write_a_thank_you_note
Charm,focus_on_the_positive
Charm,surround_yourself_with_positive_people
Charm,set_realistic_expectations
Happiness,practice_positive_affirmations
Happiness,practice_deep_breathing
Happiness,engage_in_relaxing_activities
Happiness,enjoy_a_cup_of_tea
Happiness,practice_mindfulness_meditation
Bliss,give_someone_a_hug
Bliss,engage_in_self_care
Bliss,volunteer_your_time
Bliss,express_admiration_for_others
Bliss,visit_a_place_of_worship
Amusement,seek_professional_help
Amusement,practice_active_listening
Amusement,be_a_supportive_friend
Amusement,offer_help_to_someone_in_need
Amusement,practice_empathy
Triumph,keep_your_promises
Triumph,be_loyal_to_your_friends
Triumph,believe_in_yourself
Triumph,have_faith_in_your_abilities
Triumph,establish_boundaries
Pleasure,seek_support_from_trusted_friends
Pleasure,talk_to_someone_about_your_feelings
Pleasure,seek_professional_help
Pleasure,acknowledge_your_defeat
Pleasure,ask_questions
Serenity,engage_in_creative_activities
Serenity,accept_your_emotions
Serenity,try_meditation
Serenity,practice_deep_breathing
Serenity,seek_clarity
Contentment,talk_to_someone_about_your_doubts
Contentment,embrace_your_curiosity
Contentment,ask_questions
Contentment,research_your_interests
Contentment,explore_new_topics
Pride,be_patient
Pride,embrace_change
Pride,be_open_to_new_experiences
Pride,seek_knowledge
Pride,engage_in_learning_activities
Gratitude,focus_on_your_goals
Gratitude,practice_patience
Gratitude,stay_alert
Gratitude,practice_coping_strategies
Gratitude,talk_about_your_concerns
Elation,seek_support
Elation,acknowledge_your_anxiety
Elation,practice_mindfulness
Elation,try_progressive_muscle_relaxation
Elation,seek_therapy
Optimism,focus_on_the_present
Optimism,practice_self_compassion
Optimism,develop_coping_skills
Optimism,create_a_safe_environment
Optimism,engage_in_physical_activity
Calmness,share_your_feelings
Calmness,accept_your_emotions
Calmness,practice_self_forgiveness
Calmness,reflect_on_your_mistakes
Calmness,learn_from_your_mistakes
Relief,make_amends
Relief,challenge_your_negative_thoughts
Relief,acknowledge_your_anger
Relief,practice_anger_management
Relief,seek_support_from_friends
Peacefulness,practice_mindful_communication
Peacefulness,express_your_frustrations
Peacefulness,seek_therapy_for_anger_management
Peacefulness,practice_coping_strategies
Peacefulness,acknowledge_your_sadness
Relaxation,seek_support_from_friends_and_family
Relaxation,engage_in_self_care
Relaxation,seek_therapy
Relaxation,practice_self_compassion
Relaxation,focus_on_positive_aspects_of_life
Comfort,create_a_support_network
Comfort,acknowledge_your_disgust
Comfort,seek_to_understand_your_feelings
Comfort,practice_self_reflection
Comfort,distance_yourself_from_negative_influences
Tenderness,seek_professional_help
Tenderness,focus_on_loving_yourself
Tenderness,practice_self_care
Tenderness,cultivate_healthy_relationships
Tenderness,show_appreciation
Generosity,practice_active_listening
Generosity,acknowledge_your_jealousy
Generosity,practice_self_reflection
Generosity,focus_on_self_improvement
Generosity,seek_professional_help
Admiration,acknowledge_your_apathy
Admiration,seek_to_understand_your_feelings
Admiration,engage_in_motivating_activities
Admiration,seek_support_from_friends_and_family
Awe,listen_to_upbeat_music
Awe,join_a_club
Awe,go_for_a_run
Awe,try_a_new_hobby
Awe,engage_in_deep_conversation
Attachment,attend_a_workshop
Attachment,meditate
Attachment,listen_to_meditative_music
Attachment,deep_breathing
Attachment,try_yoga
Respect,celebrate_your_achievements
Respect,treat_yourself
Respect,learn_a_new_skill
Respect,make_someone_smile
Respect,practice_gratitude
Friendliness,spend_time_with_friends
Friendliness,enjoy_nature
Friendliness,practice_mindfulness
Friendliness,play_a_game
Friendliness,watch_a_funny_movie
Sympathy,acknowledge_your_success
Sympathy,share_your_story
Sympathy,indulge_in_a_favorite_activity
Sympathy,pamper_yourself
Sympathy,practice_mindful_meditation
Compassion,take_a_walk_in_nature
Compassion,reflect_on_positive_experiences
Compassion,create_a_positive_environment
Compassion,celebrate_your_accomplishments
Compassion,acknowledge_and_accept_your_mistakes
Dependability,practice_daily_gratitude
Dependability,write_a_thank_you_note
Dependability,focus_on_the_positive
Dependability,surround_yourself_with_positive_people
Dependability,set_realistic_expectations
Loyalty,practice_positive_affirmations
Loyalty,practice_deep_breathing
Loyalty,engage_in_relaxing_activities
Loyalty,enjoy_a_cup_of_tea
Loyalty,practice_mindfulness_meditation
Confidence,give_someone_a_hug
Confidence,engage_in_self_care
Confidence,volunteer_your_time
Confidence,express_admiration_for_others
Confidence,visit_a_place_of_worship
Faith,seek_professional_help
Faith,practice_active_listening
Faith,be_a_supportive_friend
Faith,offer_help_to_someone_in_need
Faith,practice_empathy
Security,keep_your_promises
Security,be_loyal_to_your_friends
Security,believe_in_yourself
Security,have_faith_in_your_abilities
Security,establish_boundaries
Dependence,seek_support_from_trusted_friends
Dependence,talk_to_someone_about_your_feelings
Dependence,seek_professional_help
Dependence,acknowledge_your_defeat
Dependence,ask_questions
Astonishment,engage_in_creative_activities
Astonishment,accept_your_emotions
Astonishment,try_meditation
Astonishment,practice_deep_breathing
Astonishment,seek_clarity
Shock,talk_to_someone_about_your_doubts
Shock,embrace_your_curiosity
Shock,ask_questions
Shock,research_your_interests
Shock,explore_new_topics
Defeat,be_patient
Defeat,embrace_change
Defeat,be_open_to_new_experiences
Defeat,seek_knowledge
Defeat,engage_in_learning_activities
Bewilderment,focus_on_your_goals
Bewilderment,practice_patience
Bewilderment,stay_alert
Bewilderment,practice_coping_strategies
Bewilderment,talk_about_your_concerns
Amazement,seek_support
Amazement,acknowledge_your_anxiety
Amazement,practice_mindfulness
Amazement,try_progressive_muscle_relaxation
Amazement,seek_therapy
Upset,focus_on_the_present
Upset,practice_self_compassion
Upset,develop_coping_skills
Upset,create_a_safe_environment
Upset,engage_in_physical_activity
Confusion,share_your_feelings
Confusion,accept_your_emotions
Confusion,practice_self_forgiveness
Confusion,reflect_on_your_mistakes
Confusion,learn_from_your_mistakes
Startlement,make_amends
Startlement,challenge_your_negative_thoughts
Startlement,acknowledge_your_anger
Startlement,practice_anger_management
Startlement,seek_support_from_friends
Perplexity,practice_mindful_communication
Perplexity,express_your_frustrations
Perplexity,seek_therapy_for_anger_management
Perplexity,practice_coping_strategies
Perplexity,acknowledge_your_sadness
Disbelief,seek_support_from_friends_and_family
Disbelief,engage_in_self_care
Disbelief,seek_therapy
Disbelief,practice_self_compassion
Disbelief,focus_on_positive_aspects_of_life
Wonder,create_a_support_network
Wonder,acknowledge_your_disgust
Wonder,seek_to_understand_your_feelings
Wonder,practice_self_reflection
Wonder,distance_yourself_from_negative_influences
Inquisitiveness,seek_professional_help
Inquisitiveness,focus_on_loving_yourself
Inquisitiveness,practice_self_care
Inquisitiveness,cultivate_healthy_relationships
Inquisitiveness,show_appreciation
Intrigue,practice_active_listening
Intrigue,acknowledge_your_jealousy
Intrigue,practice_self_reflection
Intrigue,focus_on_self_improvement
Intrigue,seek_professional_help
Fascination,acknowledge_your_apathy
Fascination,seek_to_understand_your_feelings
Fascination,engage_in_motivating_activities
Fascination,seek_support_from_friends_and_family
Fascination,practice_mindfulness
Eagerness,practice_deep_breathing
Eagerness,seek_therapy
Eagerness,practice_self_compassion
Eagerness,develop_coping_skills
Eagerness,engage_in_physical_activity
Disorientation,share_your_feelings
Disorientation,accept_your_emotions
Disorientation,practice_self_forgiveness
Disorientation,reflect_on_your_mistakes
Disorientation,learn_from_your_mistakes
Dizziness,make_amends
Dizziness,challenge_your_negative_thoughts
Dizziness,acknowledge_your_anger
Dizziness,practice_anger_management
Dizziness,seek_support_from_friends
Uncertainty,practice_mindful_communication
Uncertainty,express_your_frustrations
Uncertainty,seek_therapy_for_anger_management
Uncertainty,practice_coping_strategies
Uncertainty,acknowledge_your_sadness
Disarray,seek_support_from_friends_and_family
Disarray,engage_in_self_care
Disarray,seek_therapy
Disarray,practice_self_compassion
Disarray,focus_on_positive_aspects_of_life
Curiosity,create_a_support_network
Curiosity,acknowledge_your_disgust
Curiosity,seek_to_understand_your_feelings
Curiosity,practice_self_reflection
Curiosity,distance_yourself_from_negative_influences
Focus,seek_professional_help
Focus,focus_on_loving_yourself
Focus,practice_self_care
Focus,cultivate_healthy_relationships
Focus,show_appreciation
Engagement,practice_active_listening
Engagement,acknowledge_your_jealousy
Engagement,practice_self_reflection
Engagement,focus_on_self_improvement
Engagement,seek_professional_help
Hope,acknowledge_your_apathy
Hope,seek_to_understand_your_feelings
Hope,engage_in_motivating_activities
Hope,seek_support_from_friends_and_family
Hope,practice_mindfulness
Enthusiasm,practice_deep_breathing
Enthusiasm,seek_therapy
Enthusiasm,practice_self_compassion
Enthusiasm,develop_coping_skills
Enthusiasm,engage_in_physical_activity
Impatience,share_your_feelings
Impatience,accept_your_emotions
Impatience,practice_self_forgiveness
Impatience,reflect_on_your_mistakes
Impatience,learn_from_your_mistakes
Suspicion,make_amends
Suspicion,challenge_your_negative_thoughts
Suspicion,acknowledge_your_anger
Suspicion,practice_anger_management
Suspicion,seek_support_from_friends
Alertness,practice_mindful_communication
Alertness,express_your_frustrations
Alertness,seek_therapy_for_anger_management
Alertness,practice_coping_strategies
Alertness,acknowledge_your_sadness
Concern,seek_support_from_friends_and_family
Concern,engage_in_self_care
Concern,seek_therapy
Concern,practice_self_compassion
Concern,focus_on_positive_aspects_of_life
Anxiety,create_a_support_network
Anxiety,acknowledge_your_disgust
Anxiety,seek_to_understand_your_feelings
Anxiety,practice_self_reflection
Anxiety,distance_yourself_from_negative_influences
Awkwardness,seek_professional_help
Awkwardness,focus_on_loving_yourself
Awkwardness,practice_self_care
Awkwardness,cultivate_healthy_relationships
Awkwardness,show_appreciation
Trembling,practice_active_listening
Trembling,acknowledge_your_jealousy
Trembling,practice_self_reflection
Trembling,focus_on_self_improvement
Trembling,seek_professional_help
Worry,acknowledge_your_apathy
Worry,seek_to_understand_your_feelings
Worry,engage_in_motivating_activities
Worry,seek_support_from_friends_and_family
Worry,practice_mindfulness
Fright,practice_deep_breathing
Fright,seek_therapy
Fright,practice_self_compassion
Fright,develop_coping_skills
Fright,engage_in_physical_activity
Agitation,share_your_feelings
Agitation,accept_your_emotions
Agitation,practice_self_forgiveness
Agitation,reflect_on_your_mistakes
Agitation,learn_from_your_mistakes
Horror,make_amends
Horror,challenge_your_negative_thoughts
Horror,acknowledge_your_anger
Horror,practice_anger_management
Horror,seek_support_from_friends
Sense_of_threat,practice_mindful_communication
Sense_of_threat,express_your_frustrations
Sense_of_threat,seek_therapy_for_anger_management
Sense_of_threat,practice_coping_strategies
Sense_of_threat,acknowledge_your_sadness
Apprehension,seek_support_from_friends_and_family
Apprehension,engage_in_self_care
Apprehension,seek_therapy
Apprehension,practice_self_compassion
Apprehension,focus_on_positive_aspects_of_life
Panic,create_a_support_network
Panic,acknowledge_your_disgust
Panic,seek_to_understand_your_feelings
Panic,practice_self_reflection
Panic,distance_yourself_from_negative_influences
Dread,seek_professional_help
Dread,focus_on_loving_yourself
Dread,practice_self_care
Dread,cultivate_healthy_relationships
Dread,show_appreciation
Uneasiness,practice_active_listening
Uneasiness,acknowledge_your_jealousy
Uneasiness,practice_self_reflection
Uneasiness,focus_on_self_improvement
Uneasiness,seek_professional_help
Trepidation,acknowledge_your_apathy
Trepidation,seek_to_understand_your_feelings
Trepidation,engage_in_motivating_activities
Trepidation,seek_support_from_friends_and_family
Trepidation,practice_mindfulness
Insecurity,practice_deep_breathing
Insecurity,seek_therapy
Insecurity,practice_self_compassion
Insecurity,develop_coping_skills
Insecurity,engage_in_physical_activity
Insecurity,acknowledge_your_insecurity
Insecurity,practice_self_reflection
Insecurity,build_self_confidence
Insecurity,seek_support_from_friends_and_family
Insecurity,seek_professional_help
Longing,acknowledge_your_longing
Longing,seek_clarity_on_your_desires
Longing,practice_mindfulness
Longing,seek_support_from_friends_and_family
Longing,engage_in_activities_that_fulfill_your_desires
Indifference,acknowledge_your_indifference
Indifference,seek_to_understand_your_feelings
Indifference,engage_in_motivating_activities
Indifference,seek_support_from_friends_and_family
Indifference,practice_mindfulness
Disinterest,acknowledge_your_disinterest
Disinterest,seek_to_understand_your_feelings
Disinterest,engage_in_interest_building_activities
Disinterest,seek_support_from_friends_and_family
Disinterest,practice_mindfulness
Lethargy,acknowledge_your_lethargy
Lethargy,engage_in_energy_boosting_activities
Lethargy,seek_support_from_friends_and_family
Lethargy,establish_a_consistent_sleep_schedule
Lethargy,seek_professional_help
