sub_emotion_suggested_id,parent_sub_emotion_id,parent_suggested_action_id
1,Agitation,accept_your_emotions
2,Astonishment,accept_your_emotions
3,Calmness,accept_your_emotions
4,Confusion,accept_your_emotions
5,Disorientation,accept_your_emotions
6,Impatience,accept_your_emotions
7,Serenity,accept_your_emotions
8,Compassion,acknowledge_and_accept_your_mistakes
9,Satisfaction,acknowledge_and_accept_your_mistakes
10,Dizziness,acknowledge_your_anger
11,Horror,acknowledge_your_anger
12,Relief,acknowledge_your_anger
13,Startlement,acknowledge_your_anger
14,Suspicion,acknowledge_your_anger
15,Amazement,acknowledge_your_anxiety
16,Elation,acknowledge_your_anxiety
17,Admiration,acknowledge_your_apathy
18,Fascination,acknowledge_your_apathy
19,Hope,acknowledge_your_apathy
20,Trepidation,acknowledge_your_apathy
21,Worry,acknowledge_your_apathy
22,Dependence,acknowledge_your_defeat
23,Pleasure,acknowledge_your_defeat
24,Anxiety,acknowledge_your_disgust
25,Comfort,acknowledge_your_disgust
26,Curiosity,acknowledge_your_disgust
27,Panic,acknowledge_your_disgust
28,Wonder,acknowledge_your_disgust
29,Engagement,acknowledge_your_jealousy
30,Generosity,acknowledge_your_jealousy
31,Intrigue,acknowledge_your_jealousy
32,Trembling,acknowledge_your_jealousy
33,Uneasiness,acknowledge_your_jealousy
34,Alertness,acknowledge_your_sadness
35,Peacefulness,acknowledge_your_sadness
36,Perplexity,acknowledge_your_sadness
37,Sense_of_threat,acknowledge_your_sadness
38,Uncertainty,acknowledge_your_sadness
39,Sympathy,acknowledge_your_success
40,Trembling,acknowledge_your_success
41,Contentment,ask_questions
42,Dependence,ask_questions
43,Pleasure,ask_questions
44,Shock,ask_questions
45,Attachment,attend_a_workshop
46,Excitement,attend_a_workshop
47,Security,believe_in_yourself
48,Triumph,believe_in_yourself
49,Amusement,be_a_supportive_friend
50,Faith,be_a_supportive_friend
51,Security,be_loyal_to_your_friends
52,Triumph,be_loyal_to_your_friends
53,Defeat,be_open_to_new_experiences
54,Pride,be_open_to_new_experiences
55,Defeat,be_patient
56,Pride,be_patient
57,Compassion,celebrate_your_accomplishments
58,Satisfaction,celebrate_your_accomplishments
59,Passion,celebrate_your_achievements
60,Respect,celebrate_your_achievements
61,Dizziness,challenge_your_negative_thoughts
62,Horror,challenge_your_negative_thoughts
63,Relief,challenge_your_negative_thoughts
64,Startlement,challenge_your_negative_thoughts
65,Suspicion,challenge_your_negative_thoughts
66,Compassion,create_a_positive_environment
67,Satisfaction,create_a_positive_environment
68,Optimism,create_a_safe_environment
69,Upset,create_a_safe_environment
70,Anxiety,create_a_support_network
71,Comfort,create_a_support_network
72,Curiosity,create_a_support_network
73,Panic,create_a_support_network
74,Wonder,create_a_support_network
75,Awkwardness,cultivate_healthy_relationships
76,Dread,cultivate_healthy_relationships
77,Focus,cultivate_healthy_relationships
78,Inquisitiveness,cultivate_healthy_relationships
79,Tenderness,cultivate_healthy_relationships
80,Attachment,deep_breathing
81,Excitement,deep_breathing
82,Eagerness,develop_coping_skills
83,Enthusiasm,develop_coping_skills
84,Fright,develop_coping_skills
85,Insecurity,develop_coping_skills
86,Optimism,develop_coping_skills
87,Upset,develop_coping_skills
88,Anxiety,distance_yourself_from_negative_influences
89,Comfort,distance_yourself_from_negative_influences
90,Curiosity,distance_yourself_from_negative_influences
91,Panic,distance_yourself_from_negative_influences
92,Wonder,distance_yourself_from_negative_influences
93,Defeat,embrace_change
94,Pride,embrace_change
95,Contentment,embrace_your_curiosity
96,Shock,embrace_your_curiosity
97,Astonishment,engage_in_creative_activities
98,Serenity,engage_in_creative_activities
99,Awe,engage_in_deep_conversation
100,Enthusiasm,engage_in_deep_conversation
101,Defeat,engage_in_learning_activities
102,Pride,engage_in_learning_activities
103,Admiration,engage_in_motivating_activities
104,Fascination,engage_in_motivating_activities
105,Hope,engage_in_motivating_activities
106,Indifference,engage_in_motivating_activities
107,Trepidation,engage_in_motivating_activities
108,Worry,engage_in_motivating_activities
109,Eagerness,engage_in_physical_activity
110,Enthusiasm,engage_in_physical_activity
111,Fright,engage_in_physical_activity
112,Insecurity,engage_in_physical_activity
113,Optimism,engage_in_physical_activity
114,Upset,engage_in_physical_activity
115,Happiness,engage_in_relaxing_activities
116,Loyalty,engage_in_relaxing_activities
117,Apprehension,engage_in_self_care
118,Bliss,engage_in_self_care
119,Concern,engage_in_self_care
120,Confidence,engage_in_self_care
121,Disarray,engage_in_self_care
122,Disbelief,engage_in_self_care
123,Relaxation,engage_in_self_care
124,Happiness,enjoy_a_cup_of_tea
125,Loyalty,enjoy_a_cup_of_tea
126,Euphoria,enjoy_nature
127,Friendliness,enjoy_nature
128,Security,establish_boundaries
129,Triumph,establish_boundaries
130,Contentment,explore_new_topics
131,Shock,explore_new_topics
132,Bliss,express_admiration_for_others
133,Confidence,express_admiration_for_others
134,Alertness,express_your_frustrations
135,Peacefulness,express_your_frustrations
136,Perplexity,express_your_frustrations
137,Sense_of_threat,express_your_frustrations
138,Uncertainty,express_your_frustrations
139,Awkwardness,focus_on_loving_yourself
140,Dread,focus_on_loving_yourself
141,Focus,focus_on_loving_yourself
142,Inquisitiveness,focus_on_loving_yourself
143,Tenderness,focus_on_loving_yourself
144,Apprehension,focus_on_positive_aspects_of_life
145,Concern,focus_on_positive_aspects_of_life
146,Disarray,focus_on_positive_aspects_of_life
147,Disbelief,focus_on_positive_aspects_of_life
148,Relaxation,focus_on_positive_aspects_of_life
149,Engagement,focus_on_self_improvement
150,Generosity,focus_on_self_improvement
151,Intrigue,focus_on_self_improvement
152,Trembling,focus_on_self_improvement
153,Uneasiness,focus_on_self_improvement
154,Charm,focus_on_the_positive
155,Dependability,focus_on_the_positive
156,Optimism,focus_on_the_present
157,Upset,focus_on_the_present
158,Bewilderment,focus_on_your_goals
159,Gratitude,focus_on_your_goals
160,Bliss,give_someone_a_hug
161,Confidence,give_someone_a_hug
162,Awe,go_for_a_run
163,Enthusiasm,go_for_a_run
164,Security,have_faith_in_your_abilities
165,Triumph,have_faith_in_your_abilities
166,Sympathy,indulge_in_a_favorite_activity
167,Trembling,indulge_in_a_favorite_activity
168,Awe,join_a_club
169,Enthusiasm,join_a_club
170,Security,keep_your_promises
171,Triumph,keep_your_promises
172,Passion,learn_a_new_skill
173,Respect,learn_a_new_skill
174,Agitation,learn_from_your_mistakes
175,Calmness,learn_from_your_mistakes
176,Confusion,learn_from_your_mistakes
177,Disorientation,learn_from_your_mistakes
178,Impatience,learn_from_your_mistakes
179,Attachment,listen_to_meditative_music
180,Excitement,listen_to_meditative_music
181,Awe,listen_to_upbeat_music
182,Enthusiasm,listen_to_upbeat_music
183,Dizziness,make_amends
184,Horror,make_amends
185,Relief,make_amends
186,Startlement,make_amends
187,Suspicion,make_amends
188,Passion,make_someone_smile
189,Respect,make_someone_smile
190,Attachment,meditate
191,Excitement,meditate
192,Amusement,offer_help_to_someone_in_need
193,Faith,offer_help_to_someone_in_need
194,Sympathy,pamper_yourself
195,Trembling,pamper_yourself
196,Euphoria,play_a_game
197,Friendliness,play_a_game
198,Amusement,practice_active_listening
199,Engagement,practice_active_listening
200,Faith,practice_active_listening
201,Generosity,practice_active_listening
202,Intrigue,practice_active_listening
203,Trembling,practice_active_listening
204,Uneasiness,practice_active_listening
205,Dizziness,practice_anger_management
206,Horror,practice_anger_management
207,Relief,practice_anger_management
208,Startlement,practice_anger_management
209,Suspicion,practice_anger_management
210,Alertness,practice_coping_strategies
211,Bewilderment,practice_coping_strategies
212,Gratitude,practice_coping_strategies
213,Peacefulness,practice_coping_strategies
214,Perplexity,practice_coping_strategies
215,Sense_of_threat,practice_coping_strategies
216,Uncertainty,practice_coping_strategies
217,Charm,practice_daily_gratitude
218,Dependability,practice_daily_gratitude
219,Astonishment,practice_deep_breathing
220,Eagerness,practice_deep_breathing
221,Enthusiasm,practice_deep_breathing
222,Fright,practice_deep_breathing
223,Happiness,practice_deep_breathing
224,Insecurity,practice_deep_breathing
225,Loyalty,practice_deep_breathing
226,Serenity,practice_deep_breathing
227,Amusement,practice_empathy
228,Faith,practice_empathy
229,Passion,practice_gratitude
230,Respect,practice_gratitude
231,Amazement,practice_mindfulness
232,Disinterest,practice_mindfulness
233,Elation,practice_mindfulness
234,Euphoria,practice_mindfulness
235,Fascination,practice_mindfulness
236,Friendliness,practice_mindfulness
237,Hope,practice_mindfulness
238,Indifference,practice_mindfulness
239,Longing,practice_mindfulness
240,Trepidation,practice_mindfulness
241,Worry,practice_mindfulness
242,Happiness,practice_mindfulness_meditation
243,Loyalty,practice_mindfulness_meditation
244,Alertness,practice_mindful_communication
245,Peacefulness,practice_mindful_communication
246,Perplexity,practice_mindful_communication
247,Sense_of_threat,practice_mindful_communication
248,Uncertainty,practice_mindful_communication
249,Sympathy,practice_mindful_meditation
250,Trembling,practice_mindful_meditation
251,Bewilderment,practice_patience
252,Gratitude,practice_patience
253,Happiness,practice_positive_affirmations
254,Loyalty,practice_positive_affirmations
255,Awkwardness,practice_self_care
256,Dread,practice_self_care
257,Focus,practice_self_care
258,Inquisitiveness,practice_self_care
259,Tenderness,practice_self_care
260,Apprehension,practice_self_compassion
261,Concern,practice_self_compassion
262,Disarray,practice_self_compassion
263,Disbelief,practice_self_compassion
264,Eagerness,practice_self_compassion
265,Enthusiasm,practice_self_compassion
266,Fright,practice_self_compassion
267,Insecurity,practice_self_compassion
268,Optimism,practice_self_compassion
269,Relaxation,practice_self_compassion
270,Upset,practice_self_compassion
271,Agitation,practice_self_forgiveness
272,Calmness,practice_self_forgiveness
273,Confusion,practice_self_forgiveness
274,Disorientation,practice_self_forgiveness
275,Impatience,practice_self_forgiveness
276,Anxiety,practice_self_reflection
277,Comfort,practice_self_reflection
278,Curiosity,practice_self_reflection
279,Engagement,practice_self_reflection
280,Generosity,practice_self_reflection
281,Insecurity,practice_self_reflection
282,Intrigue,practice_self_reflection
283,Panic,practice_self_reflection
284,Trembling,practice_self_reflection
285,Uneasiness,practice_self_reflection
286,Wonder,practice_self_reflection
287,Compassion,reflect_on_positive_experiences
288,Satisfaction,reflect_on_positive_experiences
289,Agitation,reflect_on_your_mistakes
290,Calmness,reflect_on_your_mistakes
291,Confusion,reflect_on_your_mistakes
292,Disorientation,reflect_on_your_mistakes
293,Impatience,reflect_on_your_mistakes
294,Contentment,research_your_interests
295,Shock,research_your_interests
296,Astonishment,seek_clarity
297,Serenity,seek_clarity
298,Defeat,seek_knowledge
299,Pride,seek_knowledge
300,Amusement,seek_professional_help
301,Awkwardness,seek_professional_help
302,Dependence,seek_professional_help
303,Dread,seek_professional_help
304,Engagement,seek_professional_help
305,Faith,seek_professional_help
306,Focus,seek_professional_help
307,Generosity,seek_professional_help
308,Inquisitiveness,seek_professional_help
309,Insecurity,seek_professional_help
310,Intrigue,seek_professional_help
311,Lethargy,seek_professional_help
312,Pleasure,seek_professional_help
313,Tenderness,seek_professional_help
314,Trembling,seek_professional_help
315,Uneasiness,seek_professional_help
316,Amazement,seek_support
317,Elation,seek_support
318,Dizziness,seek_support_from_friends
319,Horror,seek_support_from_friends
320,Relief,seek_support_from_friends
321,Startlement,seek_support_from_friends
322,Suspicion,seek_support_from_friends
323,Admiration,seek_support_from_friends_and_family
324,Apprehension,seek_support_from_friends_and_family
325,Concern,seek_support_from_friends_and_family
326,Disarray,seek_support_from_friends_and_family
327,Disbelief,seek_support_from_friends_and_family
328,Disinterest,seek_support_from_friends_and_family
329,Fascination,seek_support_from_friends_and_family
330,Hope,seek_support_from_friends_and_family
331,Indifference,seek_support_from_friends_and_family
332,Insecurity,seek_support_from_friends_and_family
333,Lethargy,seek_support_from_friends_and_family
334,Longing,seek_support_from_friends_and_family
335,Relaxation,seek_support_from_friends_and_family
336,Trepidation,seek_support_from_friends_and_family
337,Worry,seek_support_from_friends_and_family
338,Dependence,seek_support_from_trusted_friends
339,Pleasure,seek_support_from_trusted_friends
340,Amazement,seek_therapy
341,Apprehension,seek_therapy
342,Concern,seek_therapy
343,Disarray,seek_therapy
344,Disbelief,seek_therapy
345,Eagerness,seek_therapy
346,Elation,seek_therapy
347,Enthusiasm,seek_therapy
348,Fright,seek_therapy
349,Insecurity,seek_therapy
350,Relaxation,seek_therapy
351,Alertness,seek_therapy_for_anger_management
352,Peacefulness,seek_therapy_for_anger_management
353,Perplexity,seek_therapy_for_anger_management
354,Sense_of_threat,seek_therapy_for_anger_management
355,Uncertainty,seek_therapy_for_anger_management
356,Admiration,seek_to_understand_your_feelings
357,Anxiety,seek_to_understand_your_feelings
358,Comfort,seek_to_understand_your_feelings
359,Curiosity,seek_to_understand_your_feelings
360,Disinterest,seek_to_understand_your_feelings
361,Fascination,seek_to_understand_your_feelings
362,Hope,seek_to_understand_your_feelings
363,Indifference,seek_to_understand_your_feelings
364,Panic,seek_to_understand_your_feelings
365,Trepidation,seek_to_understand_your_feelings
366,Wonder,seek_to_understand_your_feelings
367,Worry,seek_to_understand_your_feelings
368,Charm,set_realistic_expectations
369,Dependability,set_realistic_expectations
370,Agitation,share_your_feelings
371,Calmness,share_your_feelings
372,Confusion,share_your_feelings
373,Disorientation,share_your_feelings
374,Impatience,share_your_feelings
375,Sympathy,share_your_story
376,Trembling,share_your_story
377,Awkwardness,show_appreciation
378,Dread,show_appreciation
379,Focus,show_appreciation
380,Inquisitiveness,show_appreciation
381,Tenderness,show_appreciation
382,Euphoria,spend_time_with_friends
383,Friendliness,spend_time_with_friends
384,Bewilderment,stay_alert
385,Gratitude,stay_alert
386,Charm,surround_yourself_with_positive_people
387,Dependability,surround_yourself_with_positive_people
388,Compassion,take_a_walk_in_nature
389,Satisfaction,take_a_walk_in_nature
390,Bewilderment,talk_about_your_concerns
391,Gratitude,talk_about_your_concerns
392,Contentment,talk_to_someone_about_your_doubts
393,Shock,talk_to_someone_about_your_doubts
394,Dependence,talk_to_someone_about_your_feelings
395,Pleasure,talk_to_someone_about_your_feelings
396,Passion,treat_yourself
397,Respect,treat_yourself
398,Awe,try_a_new_hobby
399,Enthusiasm,try_a_new_hobby
400,Astonishment,try_meditation
401,Serenity,try_meditation
402,Amazement,try_progressive_muscle_relaxation
403,Elation,try_progressive_muscle_relaxation
404,Attachment,try_yoga
405,Excitement,try_yoga
406,Bliss,visit_a_place_of_worship
407,Confidence,visit_a_place_of_worship
408,Bliss,volunteer_your_time
409,Confidence,volunteer_your_time
410,Euphoria,watch_a_funny_movie
411,Friendliness,watch_a_funny_movie
412,Charm,write_a_thank_you_note
413,Dependability,write_a_thank_you_note
