suggested_action_id,suggested_action_name,created
about_your_doubts,Talk to someone about your doubts,2023-04-07 06:15:08
accept_your_emotions,Accept your emotions,2023-04-07 06:15:08
acknowledge_and_accept_your_mistakes,Acknowledge and accept your mistakes,2023-04-07 06:15:08
acknowledge_your_anger,Acknowledge your anger,2023-04-07 06:15:08
acknowledge_your_anxiety,Acknowledge your anxiety,2023-04-07 06:15:08
acknowledge_your_apathy,Acknowledge your apathy,2023-04-07 06:15:08
acknowledge_your_defeat,Acknowledge your defeat,2023-04-07 06:15:08
acknowledge_your_disgust,Acknowledge your disgust,2023-04-07 06:15:08
acknowledge_your_jealousy,Acknowledge your jealousy,2023-04-07 06:15:08
acknowledge_your_sadness,Acknowledge your sadness,2023-04-07 06:15:08
acknowledge_your_success,Acknowledge your success,2023-04-07 06:15:08
ask_questions,Ask questions,2023-04-07 06:15:08
attend_a_workshop,Attend a workshop,2023-04-07 06:15:08
believe_in_yourself,Believe in yourself,2023-04-07 06:15:08
be_a_supportive_friend,Be a supportive friend,2023-04-07 06:15:08
be_loyal_to_your_friends,Be loyal to your friends,2023-04-07 06:15:08
be_open_to_new_experiences,Be open to new experiences,2023-04-07 06:15:08
be_patient,Be patient,2023-04-07 06:15:08
celebrate_your_accomplishments,Celebrate your accomplishments,2023-04-07 06:15:08
celebrate_your_achievements,Celebrate your achievements,2023-04-07 06:15:08
challenge_your_negative_thoughts,Challenge your negative thoughts,2023-04-07 06:15:08
create_a_positive_environment,Create a positive environment,2023-04-07 06:15:08
create_a_safe_environment,Create a safe environment,2023-04-07 06:15:08
create_a_support_network,Create a support network,2023-04-07 06:15:08
cultivate_healthy_relationships,Cultivate healthy relationships,2023-04-07 06:15:08
deep_breathing,Deep breathing,2023-04-07 06:15:08
develop_coping_skills,Develop coping skills,2023-04-07 06:15:08
distance_yourself_from_negative_influences,Distance yourself from negative influences,2023-04-07 06:15:08
embrace_change,Embrace change,2023-04-07 06:15:08
embrace_your_curiosity,Embrace your curiosity,2023-04-07 06:15:08
engage_in_creative_activities,Engage in creative activities,2023-04-07 06:15:08
engage_in_deep_conversation,Engage in deep conversation,2023-04-07 06:15:08
engage_in_learning_activities,Engage in learning activities,2023-04-07 06:15:08
engage_in_motivating_activities,Engage in motivating activities,2023-04-07 06:15:08
engage_in_physical_activity,Engage in physical activity,2023-04-07 06:15:08
engage_in_relaxing_activities,Engage in relaxing activities,2023-04-07 06:15:08
engage_in_self_care,Engage in self-care,2023-04-07 06:15:08
enjoy_a_cup_of_tea,Enjoy a cup of tea,2023-04-07 06:15:08
enjoy_nature,Enjoy nature,2023-04-07 06:15:08
establish_boundaries,Establish boundaries,2023-04-07 06:15:08
explore_new_topics,Explore new topics,2023-04-07 06:15:08
express_admiration_for_others,Express admiration for others,2023-04-07 06:15:08
express_your_frustrations,Express your frustrations,2023-04-07 06:15:08
focus_on_loving_yourself,Focus on loving yourself,2023-04-07 06:15:08
focus_on_positive_aspects_of_life,Focus on positive aspects of life,2023-04-07 06:15:08
focus_on_self_improvement,Focus on self-improvement,2023-04-07 06:15:08
focus_on_the_positive,Focus on the positive,2023-04-07 06:15:08
focus_on_the_present,Focus on the present,2023-04-07 06:15:08
focus_on_your_goals,Focus on your goals,2023-04-07 06:15:08
give_someone_a_hug,Give someone a hug,2023-04-07 06:15:08
go_for_a_run,Go for a run,2023-04-07 06:15:08
have_faith_in_your_abilities,Have faith in your abilities,2023-04-07 06:15:08
indulge_in_a_favorite_activity,Indulge in a favorite activity,2023-04-07 06:15:08
join_a_club,Join a club,2023-04-07 06:15:08
keep_your_promises,Keep your promises,2023-04-07 06:15:08
learn_a_new_skill,Learn a new skill,2023-04-07 06:15:08
learn_from_your_mistakes,Learn from your mistakes,2023-04-07 06:15:08
listen_to_meditative_music,Listen to meditative music,2023-04-07 06:15:08
listen_to_upbeat_music,Listen to upbeat music,2023-04-07 06:15:08
make_amends,Make amends,2023-04-07 06:15:08
make_someone_smile,Make someone smile,2023-04-07 06:15:08
meditate,Meditate,2023-04-07 06:15:08
offer_help_to_someone_in_need,Offer help to someone in need,2023-04-07 06:15:08
pamper_yourself,Pamper yourself,2023-04-07 06:15:08
play_a_game,Play a game,2023-04-07 06:15:08
practice_active_listening,Practice active listening,2023-04-07 06:15:08
practice_anger_management,Practice anger management,2023-04-07 06:15:08
practice_coping_strategies,Practice coping strategies,2023-04-07 06:15:08
practice_daily_gratitude,Practice daily gratitude,2023-04-07 06:15:08
practice_deep_breathing,Practice deep breathing,2023-04-07 06:15:08
practice_empathy,Practice empathy,2023-04-07 06:15:08
practice_gratitude,Practice gratitude,2023-04-07 06:15:08
practice_mindfulness,Practice mindfulness,2023-04-07 06:15:08
practice_mindfulness_meditation,Practice mindfulness meditation,2023-04-07 06:15:08
practice_mindful_communication,Practice mindful communication,2023-04-07 06:15:08
practice_mindful_meditation,Practice mindful meditation,2023-04-07 06:15:08
practice_patience,Practice patience,2023-04-07 06:15:08
practice_positive_affirmations,Practice positive affirmations,2023-04-07 06:15:08
practice_self_care,Practice self-care,2023-04-07 06:15:08
practice_self_compassion,Practice self-compassion,2023-04-07 06:15:08
practice_self_forgiveness,Practice self-forgiveness,2023-04-07 06:15:08
practice_self_reflection,Practice self-reflection,2023-04-07 06:15:08
reflect_on_positive_experiences,Reflect on positive experiences,2023-04-07 06:15:08
reflect_on_your_mistakes,Reflect on your mistakes,2023-04-07 06:15:08
research_your_interests,Research your interests,2023-04-07 06:15:08
seek_clarity,Seek clarity,2023-04-07 06:15:08
seek_knowledge,Seek knowledge,2023-04-07 06:15:08
seek_professional_help,Seek professional help,2023-04-07 06:15:08
seek_support,Seek support,2023-04-07 06:15:08
seek_support_from_friends,Seek support from friends,2023-04-07 06:15:08
seek_support_from_friends_and_family,Seek support from friends and family,2023-04-07 06:15:08
seek_support_from_trusted_friends,Seek support from trusted friends,2023-04-07 06:15:08
seek_therapy,Seek therapy,2023-04-07 06:15:08
seek_therapy_for_anger_management,Seek therapy for anger management,2023-04-07 06:15:08
seek_to_understand_your_feelings,Seek to understand your feelings,2023-04-07 06:15:08
set_realistic_expectations,Set realistic expectations,2023-04-07 06:15:08
share_your_feelings,Share your feelings,2023-04-07 06:15:08
share_your_story,Share your story,2023-04-07 06:15:08
show_appreciation,Show appreciation,2023-04-07 06:15:08
spend_time_with_friends,Spend time with friends,2023-04-07 06:15:08
stay_alert,Stay alert,2023-04-07 06:15:08
surround_yourself_with_positive_people,Surround yourself with positive people,2023-04-07 06:15:08
take_a_walk_in_nature,Take a walk in nature,2023-04-07 06:15:08
talk_about_your_concerns,Talk about your concerns,2023-04-07 06:15:08
talk_to_someone_about_your_doubts,Talk to someone,2023-04-07 06:15:08
talk_to_someone_about_your_feelings,Talk to someone about your feelings,2023-04-07 06:15:08
treat_yourself,Treat yourself,2023-04-07 06:15:08
try_a_new_hobby,Try a new hobby,2023-04-07 06:15:08
try_meditation,Try meditation,2023-04-07 06:15:08
try_progressive_muscle_relaxation,Try progressive muscle relaxation,2023-04-07 06:15:08
try_yoga,Try yoga,2023-04-07 06:15:08
visit_a_place_of_worship,Visit a place of worship,2023-04-07 06:15:08
volunteer_your_time,Volunteer your time,2023-04-07 06:15:08
watch_a_funny_movie,Watch a funny movie,2023-04-07 06:15:08
write_a_thank_you_note,Write a thank you note,2023-04-07 06:15:08
